TIPO DE PRODUCTO	TRX420	NOMBRE	DESCRIPCIÓN  CORTA	DESCRIPCIÓN  LARGA	CATEGORIA	SUB-CATEGORIA	MARCA/FABRICANTE2	PRECIO NETO	INVENTARIO	IMAGEN	IMÁGENES DE GALERÍA	ATRIBUTO 1 (EJ: COLOR)	DESCTACADO
PRODUCTO HIJO	CB1 11O  2017N	CB1 11O NEGRO	"

MOTOR: 4 tiempos, monocilíndrico
POTENCIA: 8.6 Hp / 8,720 rpm
CILINDRADA: 109.1 cc
TORQUE: 22.9 Nm / 7,000 rpm
TRANSMISIÓN: 4 velocidades, tipo retorno
SISTEMA DE ENFRIAMIENTO: Por aire
SISTEMA DE LUBRICACIÓN: Forzada por bomba trocoidal con cárter húme"		DEPORTIVA		HONDA	22701		cb1110-negro.jpg	cb1-110-1.jpg | cb1-110-2.jpg | cb1-110-3.jpg | cb1-110-4.jpg | negro.jpg	negro	
PRODUCTO HIJO	CB1 11O  2017R	"CB1 11O ROJO
"	"

MOTOR: 4 tiempos, monocilíndrico
POTENCIA: 8.6 Hp / 8,720 rpm
CILINDRADA: 109.1 cc
TORQUE: 22.9 Nm / 7,000 rpm
TRANSMISIÓN: 4 velocidades, tipo retorno
SISTEMA DE ENFRIAMIENTO: Por aire
SISTEMA DE LUBRICACIÓN: Forzada por bomba trocoidal con cárter húme"	"MEDIDAS Y PESO
PESO EN ORDEN DE MARCHA: 108 Kg (incluye equipo estándar, todos los fluidos requeridos y tanque de combustible lleno)
LARGO / ANCHO / ALTO: 1,967 mm / 742 mm / 1,075 mm
ALTURA DEL ASIENTO: 794 mm
DISTANCIA ENTRE EJES: 1,257 mm
DISTANCIA LIB"	DEPORTIVA		HONDA	22701		cb1110-rojo.jpg	cb1-110-1.jpg | cb1-110-2.jpg | cb1-110-3.jpg | cb1-110-4.jpg | rojo.jpg	Rojo	
PRODUCTO HIJO	CB160 F	CB160 F  Negro	"MOTOR: 4 tiempos, monocilíndrico, OHC, 2 válvulas                                                                              
 POTENCIA: 15.66 Hp / 8,500 rpm                                                                                                "	"MEDIDAS Y PESO
 PESO EN ORDEN DE MARCHA: 142 Kg (incluyendo equipo estándar, todos los fluidos y tanque de combustible lleno)                                                                                                                                  "	DEPORTIVA		HONDA	39999		cb160f-negro.jpg	partes-cb1160f-1.jpg | partes-cb1160f-2.jpg | partes-cb1160f-3.jpg | partes-cb1160f-4.jpg | partes-cb1160f-5.jpg | partes-cb1160f-6.jpg | negro.jpg	negro 	
PRODUCTO HIJO	CB160 F	CB160 F Rojo	"MOTOR: 4 tiempos, monocilíndrico, OHC, 2 válvulas                                                                               
POTENCIA: 15.66 Hp / 8,500 rpm                                                                                                "	"MEDIDAS Y PESO
 PESO EN ORDEN DE MARCHA: 142 Kg (incluyendo equipo estándar, todos los fluidos y tanque de combustible lleno)                                                                                                                                  "	DEPORTIVA		HONDA	39999		cb160-f-rojo.jpg	partes-cb1160f-1.jpg | partes-cb1160f-2.jpg | partes-cb1160f-3.jpg | partes-cb1160f-4.jpg | partes-cb1160f-5.jpg | partes-cb1160f-6.jpg | rojo.jpg	Rojo	
PRODUCTO PADRE 	CB 190 R	CB 190 R	"MOTOR                                                                                                                                                       
Descripción: Monocilíndrico, OHC, 2 válvulas                                                      "	"ESPECIFICACIONES / MOTOR                                                                                                                                              
 Capacidad de aceite de motor: 1.0 lt (al drenar) / 1.2 lt (al desarmar)                "	DEPORTIVA		HONDA	48500		cb190-r-roja.jpg	parte-cb190-roja.jpg	ROJO	
PRODUCTO PADRE 	CB190 REPSOL	CB190 REPSOL	"MOTOR Descripción: Monocilíndrico, OHC, 2 válvulas  Desplazamiento: 184.4 CC  Diámetro por carrera: 61.0 X 63.096 mm 
  Potencia máxima: 15.7 Hp / 8,000 rpm  Torque: 15.0 N.m / 7,000 rpm 
Relación de compresión: 9.5:1
 Sistema de enfriamiento: Por aire na"	"
 ESPECIFICACIONES / MOTOR Capacidad de aceite de motor: 1.0 lt (al drenar) / 1.2 lt (al desarmar)  Aceite de motor recomendado: 4 tiempos Honda GN4 / SAE: 10W-30 / API: SG ó superior / JASO T 903:
 MA ENCENDIDO Sistema de encendido: Completamente transis"	DEPORTIVA		HONDA	51900	1	cb1190repsol.jpg	parte-repsol.jpg	NARANJA	
	CBR250 REPSOL	CBR250 REPSOL	"MOTOR
MOTOR
4 tiempos, monocilíndrico, DOHC, 4 válvulas
POTENCIA
26.0 Hp / 8,500 rpm
CILINDRADA
249 cc
TORQUE
22.9 Nm / 7,000 rpm
TRANSMISIÓN
6 velocidades, tipo retorno
SISTEMA DE ENFRIAMIENTO
Por líquido
SISTEMA DE LUBRICACIÓN
Forzada por bomba trocoida"	"MEDIDAS Y PESO
PESO EN ORDEN DE MARCHA
163.00 kg, incluye equipo estándar, todos los fluidos requeridos y tanque de combustible lleno
LARGO / ANCHO / ALTO
2,030 / 720 / 1,127 mm
ALTURA DEL ASIENTO
784 mm
DISTANCIA ENTRE EJES
1,369 mm
DISTANCIA LIBRE AL PI"	DEPORTIVA		HONDA	64,900		cbr250-repsol.jpg	cbr250-1.jpg | cbr250-2.jpg | cbr250-3.jpg | cbr250-4.jpg | cbr250-5.jpg | cbr250-6.jpg | cbr250-7.jpg | cbr250-8.jpg | naranja.jpg	NARANJA	
	CBR250R	CBR250R	"MOTOR
MOTOR
4 tiempos, monocilíndrico, DOHC, 4 válvulas
POTENCIA
26.0 Hp / 8,500 rpm
CILINDRADA
249 cc
TORQUE
22.9 Nm / 7,000 rpm
TRANSMISIÓN
6 velocidades, tipo retorno
SISTEMA DE ENFRIAMIENTO
Por líquido
SISTEMA DE LUBRICACIÓN
Forzada por bomba trocoida"	"MEDIDAS Y PESO
PESO EN ORDEN DE MARCHA
163.00 kg, incluye equipo estándar, todos los fluidos requeridos y tanque de combustible lleno
LARGO / ANCHO / ALTO
2,030 / 720 / 1,127 mm
ALTURA DEL ASIENTO
784 mm
DISTANCIA ENTRE EJES
1,369 mm
DISTANCIA LIBRE AL PI"	DEPORTIVA		HONDA	64,900		cbr250-negra.jpg	cbr250-r-1.jpg | cbr250-r-2.jpg | cbr250-r-3.jpg | cbr250-r-4.jpg | cbr250-r-5.jpg | negro.jpg	Negro	
	CBR250R	CBR250R	"MOTOR
MOTOR
4 tiempos, monocilíndrico, DOHC, 4 válvulas
POTENCIA
26.0 Hp / 8,500 rpm
CILINDRADA
249 cc
TORQUE
22.9 Nm / 7,000 rpm
TRANSMISIÓN
6 velocidades, tipo retorno
SISTEMA DE ENFRIAMIENTO
Por líquido
SISTEMA DE LUBRICACIÓN
Forzada por bomba trocoida"	"MEDIDAS Y PESO
PESO EN ORDEN DE MARCHA
163.00 kg, incluye equipo estándar, todos los fluidos requeridos y tanque de combustible lleno
LARGO / ANCHO / ALTO
2,030 / 720 / 1,127 mm
ALTURA DEL ASIENTO
784 mm
DISTANCIA ENTRE EJES
1,369 mm
DISTANCIA LIBRE AL PI"	DEPORTIVA		HONDA	64,900		cbr250-roja.jpg	cbr250-r-1.jpg | cbr250-r-2.jpg | cbr250-r-3.jpg | cbr250-r-4.jpg | cbr250-r-5.jpg | rojo.jpg	Rojo	
PRODUCTO HIJO 	CGL 125 TOOL BLANCO	CGL 125 TOOL BLANCO	"MOTOR MOTOR: 4 tiempos, monocilíndrico,
 OHV POTENCIA: 9.7 Hp / 8,500 rpm 
CILINDRADA: 124.1 cc  TORQUE: 8.8 nm / 7,500 rpm 
TRANSMISIÓN: 5 velocidades, tipo rotatorio 
SISTEMA DE ENFRIAMIENTO: Aire 
SISTEMA DE LUBRICACIÓN: Forzada por bomba trocoidal con"	"MEDIDAS Y PESO PESO
 EN ORDEN DE MARCHA: 109 Kg
 LARGO / ANCHO / ALTO: 2,010 mm / 795 mm / 1,055 mm
 ALTURA DEL ASIENTO: 755 mm
 DISTANCIA ENTRE EJES: 1,280 mm
 DISTANCIA LIBRE AL PISO: 140 mm 
NEUMÁTICO DELANTERO Y TRASERO: 2.75-18 42P 90/90-18 51P 
CAPA"	TRABAJO 		HONDA	19400		cgl125-blanco.jpg	cgl125-tool-1.jpg | cgl125-tool-2.jpg | cgl125-tool-3.jpg | cgl125-tool-4.jpg | cgl125-tool-5.jpg | cgl125-tool-6.jpg | blanco.jpg	BLANCA 	
PRODUCTO HIJO 	CGL 125 TOOL ROJA	CGL 125 TOOL ROJA	"MOTOR MOTOR: 4 tiempos, monocilíndrico,
 OHV POTENCIA: 9.7 Hp / 8,500 rpm 
CILINDRADA: 124.1 cc  TORQUE: 8.8 nm / 7,500 rpm 
TRANSMISIÓN: 5 velocidades, tipo rotatorio 
SISTEMA DE ENFRIAMIENTO: Aire 
SISTEMA DE LUBRICACIÓN: Forzada por bomba trocoidal con"	"MEDIDAS Y PESO PESO
 EN ORDEN DE MARCHA: 109 Kg
 LARGO / ANCHO / ALTO: 2,010 mm / 795 mm / 1,055 mm
 ALTURA DEL ASIENTO: 755 mm
 DISTANCIA ENTRE EJES: 1,280 mm
 DISTANCIA LIBRE AL PISO: 140 mm 
NEUMÁTICO DELANTERO Y TRASERO: 2.75-18 42P 90/90-18 51P 
CAPA"	TRABAJO 		HONDA	19400		cgl-125-rojo.jpg	cgl125-tool-1.jpg | cgl125-tool-2.jpg | cgl125-tool-3.jpg | cgl125-tool-4.jpg | cgl125-tool-5.jpg | cgl125-tool-6.jpg | rojo.jpg	ROJA	
PRODUCTO HIJO 	CGL 125 TOOL GRIS	CGL 125 TOOL GRIS	"MOTOR MOTOR: 4 tiempos, monocilíndrico,
 OHV POTENCIA: 9.7 Hp / 8,500 rpm 
CILINDRADA: 124.1 cc  TORQUE: 8.8 nm / 7,500 rpm 
TRANSMISIÓN: 5 velocidades, tipo rotatorio 
SISTEMA DE ENFRIAMIENTO: Aire 
SISTEMA DE LUBRICACIÓN: Forzada por bomba trocoidal con"	"MEDIDAS Y PESO PESO
 EN ORDEN DE MARCHA: 109 Kg
 LARGO / ANCHO / ALTO: 2,010 mm / 795 mm / 1,055 mm
 ALTURA DEL ASIENTO: 755 mm
 DISTANCIA ENTRE EJES: 1,280 mm
 DISTANCIA LIBRE AL PISO: 140 mm 
NEUMÁTICO DELANTERO Y TRASERO: 2.75-18 42P 90/90-18 51P 
CAPA"	TRABAJO 		HONDA	19400		cgl125-gris.jpg	cgl125-tool-1.jpg | cgl125-tool-2.jpg | cgl125-tool-3.jpg | cgl125-tool-4.jpg | cgl125-tool-5.jpg | cgl125-tool-6.jpg | gris.jpg	GRIS	
PRODUCTO HIJO 	CRUISING 125 GRIS	CRUISING 125 GRIS	"MOTORMOTOR: 4 tiempos, monocilíndrico, 
SOHC  POTENCIA: 8.7 Hp / 7,500 rpm 
CILINDRADA: 124.6 cc 
TORQUE: N/D TRANSMISIÓN: Tipo V-MATIC (por banda)
 SISTEMA DE ENFIRAMIENTO: Por aire forzado 
SISTEMA DE LUBRICACIÓN: Forzada por bomba trocoidal con cárter "	"MEDIDAS Y PESO 
PESO EN ORDEN DE MARCHA: 111 Kg (incluye equipo estándar, todos los fluidos requeridos y tanque de combustible lleno
LARGO / ANCHO / ALTO: 1,845 / 670 / 1,110 mm 
ALTURA DEL ASIENTO: 758 mm 
DISTANCIA ENTRE EJES: 1,235 mm  DISTANCIA LIBRE "	MOTONETAS 		HONDA	26400		cruising-125-plata.jpg	cruising-1.jpg | cruising-2.jpg | cruising-3.jpg | cruising-4.jpg | cruising-5.jpg | cruising-6.jpg | gris.jpg	GRIS	
PRODUCTO HIJO 	CRUISING 125 BLANCA	CRUISING 125 BLANCA	"MOTORMOTOR: 4 tiempos, monocilíndrico, 
SOHC  POTENCIA: 8.7 Hp / 7,500 rpm 
CILINDRADA: 124.6 cc 
TORQUE: N/D TRANSMISIÓN: Tipo V-MATIC (por banda)
 SISTEMA DE ENFIRAMIENTO: Por aire forzado 
SISTEMA DE LUBRICACIÓN: Forzada por bomba trocoidal con cárter "	"MEDIDAS Y PESO 
PESO EN ORDEN DE MARCHA: 111 Kg (incluye equipo estándar, todos los fluidos requeridos y tanque de combustible lleno
LARGO / ANCHO / ALTO: 1,845 / 670 / 1,110 mm 
ALTURA DEL ASIENTO: 758 mm 
DISTANCIA ENTRE EJES: 1,235 mm  DISTANCIA LIBRE "	MOTONETAS 		HONDA	26400		cruising-125-blanco.jpg	cruising-1.jpg | cruising-2.jpg | cruising-3.jpg | cruising-4.jpg | cruising-5.jpg | cruising-6.jpg | blanco.jpg	BLANCO	
PRODUCTO HIJO 	CRUISING  125  NEGRA	CRUISING  125  NEGRA	"MOTORMOTOR: 4 tiempos, monocilíndrico, 
SOHC  POTENCIA: 8.7 Hp / 7,500 rpm 
CILINDRADA: 124.6 cc 
TORQUE: N/D TRANSMISIÓN: Tipo V-MATIC (por banda)
 SISTEMA DE ENFIRAMIENTO: Por aire forzado 
SISTEMA DE LUBRICACIÓN: Forzada por bomba trocoidal con cárter "	"MEDIDAS Y PESO 
PESO EN ORDEN DE MARCHA: 111 Kg (incluye equipo estándar, todos los fluidos requeridos y tanque de combustible lleno
LARGO / ANCHO / ALTO: 1,845 / 670 / 1,110 mm 
ALTURA DEL ASIENTO: 758 mm 
DISTANCIA ENTRE EJES: 1,235 mm  DISTANCIA LIBRE "	MOTONETAS 		HONDA	26400		cruising-125-negro.jpg	cruising-1.jpg | cruising-2.jpg | cruising-3.jpg | cruising-4.jpg | cruising-5.jpg | cruising-6.jpg | negro.jpg	NEGRO 	
Producto padre	TRX250 TM	TRX250 TM	"MOTOR
4 tiempos, monocilíndrico, OHV 2 válvulas
POTENCIA
15.8 Hp / 6,500 rpm
CILINDRADA
229.2 c.c.
TORQUE
18.7 nm / 5,000 rpm
TRANSMISIÓN
5 velocidades más reversa, pedal
SISTEMA DE ENFRIAMIENTO
Aire, enfriador de aceite
CARBURADOR
Válvula de pistón / ven"	"MEDIDAS Y PESO
PESO EN SECO
190 kg
LARGO / ANCHO / ALTO
1,905 mm / 1,035 mm / 1,070 mm
ALTURA DEL ASIENTO
973 mm
DISTANCIA ENTRE EJES
1,131 mm
NEUMÁTICO DELANTERO Y TRASERO
AT22X7-11 AT22X10-9

SISTEMA DE IGNICIÓN
SISTEMA DE ENCENDIDO
AC-CDI
SISTEMA DE AR"	ATVS		HONDA	108000		trx250-tm-rojo.jpg	trx250-tm-1.jpg | trx250-tm-2.jpg | trx250-tm-3.jpg | trx250-tm-4.jpg | rojo.jpg	ROJO	
Producto padre	TRX420FE	TRX420FE	"MOTOR
MOTOR
4 tiempos, monocilíndrico, OHV
POTENCIA
26.5 Hp / 6,000 rpm
CILINDRADA
420.2 c.c.
TORQUE
32.3 nm / 5,500 rpm
TRANSMISIÓN
5 velocidades más reversa, ESP
SISTEMA DE ENFRIAMIENTO
Líquido
SISTEMA DE COMBUSTIBLE
Inyección electrónica PGM-FI, cuerpo"	"MEDIDAS Y PESO
PESO EN SECO
255 kg
LARGO / ANCHO / ALTO
2,055 mm / 1,172 mm / 1,146 mm
ALTURA DEL ASIENTO
822 mm
DISTANCIA ENTRE EJES
1,249 mm
DISTANCIA LIBRE AL PISO
165 mm
NEUMÁTICO DELANTERO Y TRASERO
AT24X8-12 AT24X10-11

SISTEMA DE IGNICIÓN
SISTEMA D"	ATVS		HONDA	154900		trx420-fe-rojo.jpg	trx420-fe-1.jpg | trx420-fe-2.jpg | trx420-fe-3.jpg | trx420-fe-4.jpg | rojo.jpg	ROJO	
Producto padre	TRX420FM	TRX420FM	"MOTOR
MOTOR
4 tiempos, monocilíndrico, OHV
POTENCIA
26.5 Hp / 6,000 rpm
CILINDRADA
420.2 c.c.
TORQUE
32.3 nm / 5,500 rpm
TRANSMISIÓN
5 velocidades más reversa, pedal
SISTEMA DE ENFRIAMIENTO
Líquido
SISTEMA DE COMBUSTIBLE
Inyección electrónica PGM-FI, cuer"	"MEDIDAS Y PESO
PESO EN SECO
254 kg
LARGO / ANCHO / ALTO
2,055 mm / 1,172 mm / 1,146 mm
ALTURA DEL ASIENTO
822 mm
DISTANCIA ENTRE EJES
1,249 mm
DISTANCIA LIBRE AL PISO
165 mm
NEUMÁTICO DELANTERO Y TRASERO
AT24X8-12 AT24X10-11

SISTEMA DE IGNICIÓN
SISTEMA D"	ATVS		HONDA	147900		trx420-fm-rojo.jpg	trx420-fm-1.jpg | trx420-fm-2.jpg | trx420-fm-3.jpg | trx420-fm-4.jpg | rojo.jpg	ROJO	
Producto padre	TRX420 TM	TRX420 TM	"MOTOR
MOTOR
4 tiempos, monocilíndrico, OHV
POTENCIA
26.5 Hp / 6,000 rpm
CILINDRADA
420.2 c.c.
TORQUE
32.3 nm / 5,500 rpm
TRANSMISIÓN
5 velocidades más reversa, pedal
SISTEMA DE ENFRIAMIENTO
Líquido
SISTEMA DE COMBUSTIBLE
Inyección electrónica PGM-FI, cuer"	"MEDIDAS Y PESO
PESO EN SECO
237 kg
LARGO / ANCHO / ALTO
2,055 mm / 1,172 mm / 1,146 mm
ALTURA DEL ASIENTO
822 mm
DISTANCIA ENTRE EJES
1,249 mm
DISTANCIA LIBRE AL PISO
165 mm
NEUMÁTICO DELANTERO Y TRASERO
AT24X8-12 AT24X10-11

SISTEMA DE IGNICIÓN
SISTEMA D"	ATVS		HONDA	133,900		trx420-tm-rojo.jpg	trx420-tm-1.jpg | trx420-tm-2.jpg | trx420-tm-3.jpg | trx420-tm-4.jpg | rojo.jpg	ROJO	
Producto padre	TRX500FE	TRX500FE	"MOTOR
MOTOR
4 tiempos, monocilíndrico, OHV
POTENCIA
N/D
CILINDRADA
475 c.c.
TORQUE
N/D
TRANSMISIÓN
5 velocidades más reversa, ESP
SISTEMA DE ENFRIAMIENTO
Aire natural / ventilador 2 radiadores aceite
SISTEMA DE COMBUSTIBLE
Válvula de pistón / 33 mm"	"PESO EN SECO
279 kg
LARGO / ANCHO / ALTO
2,108 mm / 1,189 mm / 1,181 mm
ALTURA DEL ASIENTO
861 mm
DISTANCIA ENTRE EJES
1,287 mm
DISTANCIA LIBRE AL PISO
190.5 mm
NEUMÁTICO DELANTERO Y TRASERO
25X8-12 25X10-12

SISTEMA DE IGNICIÓN
SISTEMA DE ENCENDIDO
CDI c"	ATVS		HONDA	16699		trx500-fe-rojo.jpg	trx500-fe-1.jpg | trx500-fe-2.jpg | trx500-fe-3.jpg | trx500-fe-4.jpg | rojo.jpg	ROJO	
Producto Padre	TRX500FM	TRX500FM	"MOTOR
MOTOR
4 tiempos, monocilíndrico, OHV
POTENCIA
N/D
CILINDRADA
475 c.c.
TORQUE
N/D
TRANSMISIÓN
5 velocidades más reversa
SISTEMA DE ENFRIAMIENTO
Aire natural / ventilador 2 radiadores aceite
SISTEMA DE COMBUSTIBLE
Válvula de pistón / 33 mm"	"MEDIDAS Y PESO
PESO EN SECO
FM: 269 kg
LARGO / ANCHO / ALTO
2,108 mm / 1,189 mm / 1,181 mm
ALTURA DEL ASIENTO
861 mm
DISTANCIA ENTRE EJES
1,287 mm
DISTANCIA LIBRE AL PISO
190.5 mm
NEUMÁTICO DELANTERO Y TRASERO
25X8-12 25X10-12

SISTEMA DE IGNICIÓN
SISTEMA"	ATVS		HONDA	159900		trx500-fm-rojo.jpg	trx500-fm-1.jpg | trx500-fm-2.jpg | trx500-fm-3.jpg | trx500-fm-4.jpg | rojo.jpg	ROJO	
